city,timestamp,temperature,season
New York,2010-01-01,0.831150007585033,winter
New York,2010-01-02,0.5597218756355381,winter
New York,2010-01-03,-0.9885565290868676,winter
New York,2010-01-04,2.830050370989012,winter
New York,2010-01-05,-1.1934740878540282,winter
New York,2010-01-06,3.9195589623307763,winter
New York,2010-01-07,-2.275199217042239,winter
New York,2010-01-08,-4.165174189823764,winter
New York,2010-01-09,12.26933684897785,winter
New York,2010-01-10,5.9041147496951565,winter
New York,2010-01-11,2.5494618353564453,winter
New York,2010-01-12,2.895816302165672,winter
New York,2010-01-13,-3.694159121315689,winter
New York,2010-01-14,-3.8940158863387886,winter
New York,2010-01-15,4.347093124378543,winter
New York,2010-01-16,0.17926453684781013,winter
New York,2010-01-17,0.553368119215532,winter
New York,2010-01-18,-0.4181970240394183,winter
New York,2010-01-19,-1.1697481285174325,winter
New York,2010-01-20,-0.34713010433571273,winter
New York,2010-01-21,1.5713960389956632,winter
New York,2010-01-22,-9.142875666325954,winter
New York,2010-01-23,6.781381717108928,winter
New York,2010-01-24,-4.6984027380379505,winter
New York,2010-01-25,-2.7366630128439287,winter
New York,2010-01-26,-0.3278515811043762,winter
New York,2010-01-27,7.61372681005038,winter
New York,2010-01-28,2.8206393595647716,winter
New York,2010-01-29,-4.01846751566819,winter
New York,2010-01-30,-6.557387938077155,winter
New York,2010-01-31,0.6323260624545918,winter
New York,2010-02-01,-2.752055853357245,winter
New York,2010-02-02,2.5859646337348616,winter
New York,2010-02-03,-5.056770564354074,winter
New York,2010-02-04,-12.688146232758736,winter
New York,2010-02-05,1.8256938102219666,winter
New York,2010-02-06,-6.068621243245085,winter
New York,2010-02-07,-3.3083375736247596,winter
New York,2010-02-08,0.11417570664535305,winter
New York,2010-02-09,-1.9044573230198845,winter
New York,2010-02-10,-7.516199174865097,winter
New York,2010-02-11,-1.5450914375985132,winter
New York,2010-02-12,1.1562531416541024,winter
New York,2010-02-13,-1.8575207742151933,winter
New York,2010-02-14,1.5115291832801776,winter
New York,2010-02-15,1.4315116557735719,winter
New York,2010-02-16,-6.5039259932698865,winter
New York,2010-02-17,-5.638362258909233,winter
New York,2010-02-18,-2.2470901861147112,winter
New York,2010-02-19,-5.712221849026054,winter
New York,2010-02-20,1.3728301760946315,winter
New York,2010-02-21,-0.8078185765594232,winter
New York,2010-02-22,7.9902145416859325,winter
New York,2010-02-23,-3.279170798037401,winter
New York,2010-02-24,4.021992437544631,winter
New York,2010-02-25,-1.5478500039753418,winter
New York,2010-02-26,-5.42706261203222,winter
New York,2010-02-27,-6.510552430829306,winter
New York,2010-02-28,7.597224529336658,winter
New York,2010-03-01,14.909856483312776,spring
New York,2010-03-02,11.695895702491292,spring
New York,2010-03-03,3.914494101508538,spring
New York,2010-03-04,2.977904173283042,spring
New York,2010-03-05,4.38396386982843,spring
New York,2010-03-06,11.675374116498498,spring
New York,2010-03-07,6.129102620078641,spring
New York,2010-03-08,15.411347936764741,spring
New York,2010-03-09,14.500247442028755,spring
New York,2010-03-10,10.745070781891744,spring
New York,2010-03-11,16.087022219747926,spring
New York,2010-03-12,11.001414962138062,spring
New York,2010-03-13,20.129347096151395,spring
New York,2010-03-14,9.716950750595675,spring
New York,2010-03-15,-3.838600933293968,spring
New York,2010-03-16,2.396989601635209,spring
New York,2010-03-17,1.5393978885308783,spring
New York,2010-03-18,11.026022690170297,spring
New York,2010-03-19,12.152525099405365,spring
New York,2010-03-20,6.36200925614273,spring
New York,2010-03-21,9.71290256337949,spring
New York,2010-03-22,12.208404911556112,spring
New York,2010-03-23,-0.11261336939943511,spring
New York,2010-03-24,8.584109383472219,spring
New York,2010-03-25,15.271316615849944,spring
New York,2010-03-26,19.322418409749027,spring
New York,2010-03-27,10.335579930175726,spring
New York,2010-03-28,7.100345519176036,spring
New York,2010-03-29,9.21304399695287,spring
New York,2010-03-30,9.250523261159287,spring
New York,2010-03-31,10.70711475537818,spring
New York,2010-04-01,6.975719027977364,spring
New York,2010-04-02,14.646936681585062,spring
New York,2010-04-03,14.498704074049739,spring
New York,2010-04-04,10.96503359562797,spring
New York,2010-04-05,11.480941608652115,spring
New York,2010-04-06,12.589657377211642,spring
New York,2010-04-07,14.536648364820735,spring
New York,2010-04-08,6.84854946457562,spring
New York,2010-04-09,16.89662043929012,spring
